State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,31/07/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/08/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,07/08/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,10/08/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,23/08/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,24/08/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,29/08/2023,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,31/08/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,08/09/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,09/10/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,14/10/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,19/10/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,20/10/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,26/10/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,06/11/2023,1300,1300,1300,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,08/11/2023,1300,1300,1300,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,09/11/2023,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,29/11/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,15/12/2023,1300,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,21/12/2023,1400,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,27/12/2023,1800,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,25/11/2024,2200,2700,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,01/02/2025,2000,2200,2100,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,09/06/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,10/06/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,26/06/2025,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,03/07/2025,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,07/07/2025,1450,2200,1962,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,11/07/2025,1350,2200,1887,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,17/07/2025,1450,2000,1733,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,21/07/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,26/07/2025,1400,2000,1700,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,31/07/2025,1500,1700,1600,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,01/04/2025,1500,2000,1837,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,17/04/2025,1400,2000,1800,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,01/10/2024,1800,2300,2050,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,18/10/2024,2500,2600,2550,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,21/11/2024,2700,2700,2700,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,08/11/2024,2100,3500,2766,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,12/11/2024,2500,3000,2733,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,07/05/2025,1700,2300,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,19/05/2025,1700,2300,2037,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,20/05/2025,2000,2300,2150,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,21/05/2025,2000,2200,2100,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,30/05/2025,1500,2200,1975,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,04/09/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,06/09/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,08/09/2025,1200,2000,1742,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,12/09/2025,1400,2000,1800,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,19/09/2025,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,24/09/2025,1200,1200,1200,24
